date,cpi_index,iip_index,iip_growth_rate,forex_reserves_usd_mn,usdinr_rate,cpi_yoy_inflation
2013-01-01,,107.2,7.2,,54.319173895794414,
2013-02-01,,101.4,1.4,,53.77849998474121,
2013-03-01,105.5,115.2,15.2,292045.6,54.41233298892067,
2013-04-01,106.1,102.6,3.3,293892.1,54.36309068853205,
2013-05-01,106.9,106.0,1.0,287897.3,54.89839139192001,
2013-06-01,109.3,101.3,-1.0,282452.8,58.09675064086914,
2013-07-01,111.0,104.7,3.2,277571.6,59.729869344960086,
2013-08-01,112.4,104.3,4.4,275491.6,62.75240915471857,
2013-09-01,113.7,105.7,6.8,277233.7,64.0193332490467,
2013-10-01,114.8,105.7,1.9,281542.9,61.57000021501021,
2013-11-01,116.3,101.9,3.7,290676.7,62.66647611345564,
2013-12-01,114.5,110.9,3.5,293876.8,61.821681629527696,
2014-01-01,,112.3,4.8,,61.99865241672682,
2014-02-01,,106.7,5.2,,62.140200233459474,
2014-03-01,114.2,118.5,2.9,304223.2,60.99652390252976,8.24644549763034
2014-04-01,115.1,106.6,3.9,310986.3,60.31522698835893,8.482563619227147
2014-05-01,115.8,111.0,4.7,312207.0,59.26422743363814,8.325537885874645
2014-06-01,116.7,109.7,8.3,316138.0,59.65919022333054,6.770356816102474
2014-07-01,119.2,110.4,5.4,319808.0,60.01500021893045,7.387387387387401
2014-08-01,120.3,108.0,3.5,318399.7,60.81557155790783,7.028469750889665
2014-09-01,120.1,110.2,4.3,313841.2,60.806136738170274,5.628847845206675
2014-10-01,120.1,106.0,0.3,315910.1,61.3033913322117,4.616724738675959
2014-11-01,120.1,109.4,7.4,315558.4,61.63299961090088,3.267411865864145
2014-12-01,119.4,115.3,4.0,320648.8,62.73634786191194,4.279475982532754
2015-01-01,,114.3,1.8,,62.203272732821375,
2015-02-01,,109.9,3.0,337733.2,62.033850479125974,
2015-03-01,120.2,121.3,2.4,341638.4,62.459909439086914,5.25394045534151
2015-04-01,120.7,107.3,0.7,351868.8,62.60036347129128,4.865334491746309
2015-05-01,121.6,113.0,1.8,352478.9,63.71614256359282,5.008635578583753
2015-06-01,123.0,110.8,1.0,356001.0,63.7934547771107,5.398457583547556
2015-07-01,123.6,111.8,1.3,353460.5,63.621913080630094,3.691275167785224
2015-08-01,124.8,112.0,3.7,351437.6,65.01014273507255,3.7406483790523692
2015-09-01,125.4,112.6,2.2,350288.6,66.2481821233576,4.412989175686932
2015-10-01,126.1,115.5,9.0,,65.05031828446822,4.995836802664444
2015-11-01,126.6,110.3,0.8,350247.2,66.07347724551246,5.412156536219825
2015-12-01,126.1,118.9,3.1,350381.4,66.51682646378227,5.611390284757101
2016-01-01,,118.9,4.0,,67.25199890136719,
2016-02-01,,117.8,7.2,348418.1,68.22361937023345,
2016-03-01,126.0,127.6,5.2,360176.2,67.00821685791016,4.825291181364388
2016-04-01,127.3,113.7,6.0,363049.0,66.44942946661087,5.468102734051361
2016-05-01,128.6,121.3,7.3,361605.0,66.91559150002219,5.756578947368429
2016-06-01,130.1,119.7,8.0,363506.1,67.22354507446289,5.772357723577226
2016-07-01,131.1,116.8,4.5,366503.9,67.18742915562221,6.067961165048552
2016-08-01,131.1,116.5,4.0,,66.90825221849525,5.048076923076916
2016-09-01,130.9,118.2,5.0,371990.3,66.69792764837092,4.385964912280693
2016-10-01,131.4,120.3,4.2,366211.6,66.71483394077846,4.203013481364004
2016-11-01,131.2,115.9,5.1,361121.0,67.60415371981534,3.633491311216419
2016-12-01,130.4,121.7,2.4,358898.0,67.83011384443803,3.4099920697858943
2017-01-01,,123.1,3.5,,68.07183629816228,
2017-02-01,,119.2,1.2,,67.00256042480468,
2017-03-01,130.9,133.2,4.4,369954.7,65.89516084090523,3.8888888888888973
2017-04-01,131.1,117.3,3.2,373301.9,64.5478946685791,2.9850746268656803
2017-05-01,131.4,124.8,2.9,380100.4,64.3975130164105,2.1772939346812015
2017-06-01,132.0,119.3,-0.3,386539.4,64.4509232260964,1.460415065334364
2017-07-01,134.2,118.0,1.0,393655.2,64.45347366333007,2.3646071700991644
2017-08-01,135.4,122.1,4.8,397822.1,63.98929164720618,3.279938977879482
2017-09-01,135.2,123.1,4.1,400205.3,64.39517102922711,3.2849503437738514
2017-10-01,136.1,122.5,1.8,399224.8,65.06690840287642,3.5768645357686424
2017-11-01,137.6,125.8,8.5,401942.0,64.81807091122582,4.878048780487809
2017-12-01,137.2,130.6,7.3,409072.2,64.2504997253418,5.21472392638036
2018-01-01,,132.3,7.5,,63.659213024636976,
2018-02-01,,127.4,6.9,,64.36792469024658,
2018-03-01,136.5,140.3,5.3,424544.8,65.02543154629794,4.278074866310155
2018-04-01,137.1,122.6,4.5,420517.0,65.62718672979446,4.576659038901609
2018-05-01,137.8,129.6,3.8,412373.0,67.61740444017494,4.87062404870624
2018-06-01,138.5,127.7,7.0,405740.3,67.83127121698288,4.924242424242431
2018-07-01,139.8,125.7,6.5,403674.8,68.7418722672896,4.172876304023854
2018-08-01,140.4,128.0,4.8,400101.9,69.58693462869395,3.692762186115206
2018-09-01,140.2,128.8,4.6,400525.1,72.26407012939453,3.698224852071008
2018-10-01,140.7,132.8,8.4,392084.9,73.70506916875425,3.3798677443056535
2018-11-01,140.8,126.1,0.2,393718.0,72.00166806307706,2.3255813953488413
2018-12-01,140.1,133.9,2.5,395591.1,70.88785734630767,2.1137026239067103
2019-01-01,,134.4,1.6,,70.71612217115319,
2019-02-01,,127.6,0.2,,71.28241424560547,
2019-03-01,140.4,144.1,2.7,412870.87,69.71483357747395,2.857142857142869
2019-04-01,141.2,126.5,3.2,418793.1,69.48311406915838,2.9905178701677526
2019-05-01,142.0,135.4,4.5,421867.8,69.90358248623934,3.0478955007256836
2019-06-01,142.9,129.3,1.3,429837.1,69.60334510803223,3.1768953068592065
2019-07-01,144.2,131.8,4.9,428820.24,68.87401680324389,3.147353361945626
