base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2025,December,All India,Combined,CPI (General),,,,,,104.10,,
2024,Current,2025,November,All India,Combined,CPI (General),,,,,,104.01,,
2024,Current,2025,October,All India,Combined,CPI (General),,,,,,103.74,,
2024,Current,2025,September,All India,Combined,CPI (General),,,,,,103.74,,
2024,Current,2025,August,All India,Combined,CPI (General),,,,,,103.74,,
2024,Current,2025,July,All India,Combined,CPI (General),,,,,,103.35,,
2024,Current,2025,June,All India,Combined,CPI (General),,,,,,102.51,,
2024,Current,2025,May,All India,Combined,CPI (General),,,,,,101.90,,
2024,Current,2025,April,All India,Combined,CPI (General),,,,,,101.58,,
2024,Current,2025,March,All India,Combined,CPI (General),,,,,,101.39,,
2024,Current,2026,June,All India,Combined,CPI (General),,,,,,107.00,4.38,
2024,Current,2026,May,All India,Combined,CPI (General),,,,,,105.91,3.93,
2024,Current,2026,April,All India,Combined,CPI (General),,,,,,105.12,3.48,
2024,Current,2026,March,All India,Combined,CPI (General),,,,,,104.84,3.40,
2024,Current,2026,February,All India,Combined,CPI (General),,,,,,104.57,3.21,
2024,Current,2026,January,All India,Combined,CPI (General),,,,,,104.45,2.74,
