baseyear,year,month,state,sector,group,subgroup,index,inflation,status
2012,2013,December,All India,Combined,General,General-Overall,114.5,,F
2012,2013,November,All India,Combined,General,General-Overall,116.3,,F
2012,2013,October,All India,Combined,General,General-Overall,114.8,,F
2012,2013,September,All India,Combined,General,General-Overall,113.7,,F
2012,2013,August,All India,Combined,General,General-Overall,112.4,,F
2012,2013,July,All India,Combined,General,General-Overall,111.0,,F
2012,2013,June,All India,Combined,General,General-Overall,109.3,,F
2012,2013,May,All India,Combined,General,General-Overall,106.9,,F
2012,2013,April,All India,Combined,General,General-Overall,106.1,,F
2012,2013,March,All India,Combined,General,General-Overall,105.5,,F
2012,2014,December,All India,Combined,General,General-Overall,119.4,4.28,F
2012,2014,November,All India,Combined,General,General-Overall,120.1,3.27,F
2012,2014,October,All India,Combined,General,General-Overall,120.1,4.62,F
2012,2014,September,All India,Combined,General,General-Overall,120.1,5.63,F
2012,2014,August,All India,Combined,General,General-Overall,120.3,7.03,F
2012,2014,July,All India,Combined,General,General-Overall,119.2,7.39,F
2012,2014,June,All India,Combined,General,General-Overall,116.7,6.77,F
2012,2014,May,All India,Combined,General,General-Overall,115.8,8.33,F
2012,2014,April,All India,Combined,General,General-Overall,115.1,8.48,F
2012,2014,March,All India,Combined,General,General-Overall,114.2,8.25,F
2012,2015,December,All India,Combined,General,General-Overall,126.1,5.61,F
2012,2015,November,All India,Combined,General,General-Overall,126.6,5.41,F
2012,2015,October,All India,Combined,General,General-Overall,126.1,5.00,F
2012,2015,September,All India,Combined,General,General-Overall,125.4,4.41,F
2012,2015,August,All India,Combined,General,General-Overall,124.8,3.74,F
2012,2015,July,All India,Combined,General,General-Overall,123.6,3.69,F
2012,2015,June,All India,Combined,General,General-Overall,123.0,5.40,F
2012,2015,May,All India,Combined,General,General-Overall,121.6,5.01,F
2012,2015,April,All India,Combined,General,General-Overall,120.7,4.87,F
2012,2015,March,All India,Combined,General,General-Overall,120.2,5.25,F
2012,2016,December,All India,Combined,General,General-Overall,130.4,3.41,F
2012,2016,November,All India,Combined,General,General-Overall,131.2,3.63,F
2012,2016,October,All India,Combined,General,General-Overall,131.4,4.20,F
2012,2016,September,All India,Combined,General,General-Overall,130.9,4.39,F
2012,2016,August,All India,Combined,General,General-Overall,131.1,5.05,F
2012,2016,July,All India,Combined,General,General-Overall,131.1,6.07,F
2012,2016,June,All India,Combined,General,General-Overall,130.1,5.77,F
2012,2016,May,All India,Combined,General,General-Overall,128.6,5.76,F
2012,2016,April,All India,Combined,General,General-Overall,127.3,5.47,F
2012,2016,March,All India,Combined,General,General-Overall,126.0,4.83,F
2012,2017,December,All India,Combined,General,General-Overall,137.2,5.21,F
2012,2017,November,All India,Combined,General,General-Overall,137.6,4.88,F
2012,2017,October,All India,Combined,General,General-Overall,136.1,3.58,F
2012,2017,September,All India,Combined,General,General-Overall,135.2,3.28,F
2012,2017,August,All India,Combined,General,General-Overall,135.4,3.28,F
2012,2017,July,All India,Combined,General,General-Overall,134.2,2.36,F
2012,2017,June,All India,Combined,General,General-Overall,132.0,1.46,F
2012,2017,May,All India,Combined,General,General-Overall,131.4,2.18,F
2012,2017,April,All India,Combined,General,General-Overall,131.1,2.99,F
2012,2017,March,All India,Combined,General,General-Overall,130.9,3.89,F
2012,2018,December,All India,Combined,General,General-Overall,140.1,2.11,F
2012,2018,November,All India,Combined,General,General-Overall,140.8,2.33,F
2012,2018,October,All India,Combined,General,General-Overall,140.7,3.38,F
2012,2018,September,All India,Combined,General,General-Overall,140.2,3.70,F
2012,2018,August,All India,Combined,General,General-Overall,140.4,3.69,F
2012,2018,July,All India,Combined,General,General-Overall,139.8,4.17,F
2012,2018,June,All India,Combined,General,General-Overall,138.5,4.92,F
2012,2018,May,All India,Combined,General,General-Overall,137.8,4.87,F
2012,2018,April,All India,Combined,General,General-Overall,137.1,4.58,F
2012,2018,March,All India,Combined,General,General-Overall,136.5,4.28,F
2012,2019,December,All India,Combined,General,General-Overall,150.4,7.35,F
2012,2019,November,All India,Combined,General,General-Overall,148.6,5.54,F
2012,2019,October,All India,Combined,General,General-Overall,147.2,4.62,F
2012,2019,September,All India,Combined,General,General-Overall,145.8,3.99,F
2012,2019,August,All India,Combined,General,General-Overall,145.0,3.28,F
2012,2019,July,All India,Combined,General,General-Overall,144.2,3.15,F
2012,2019,June,All India,Combined,General,General-Overall,142.9,3.18,F
2012,2019,May,All India,Combined,General,General-Overall,142.0,3.05,F
2012,2019,April,All India,Combined,General,General-Overall,141.2,2.99,F
2012,2019,March,All India,Combined,General,General-Overall,140.4,2.86,F
2012,2020,December,All India,Combined,General,General-Overall,157.3,4.59,F
2012,2020,November,All India,Combined,General,General-Overall,158.9,6.93,F
2012,2020,October,All India,Combined,General,General-Overall,158.4,7.61,F
2012,2020,September,All India,Combined,General,General-Overall,156.4,7.27,F
2012,2020,August,All India,Combined,General,General-Overall,154.7,6.69,F
2012,2020,July,All India,Combined,General,General-Overall,153.9,6.73,F
2012,2020,June,All India,Combined,General,General-Overall,151.8,6.23,F
2012,2020,May,All India,Combined,General,General-Overall,150.9,,F*
2012,2020,April,All India,Combined,General,General-Overall,151.4,,F*
2012,2020,March,All India,Combined,General,General-Overall,148.6,5.84,F
2012,2021,December,All India,Combined,General,General-Overall,166.2,5.66,F
2012,2021,November,All India,Combined,General,General-Overall,166.7,4.91,F
