base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2025,December,All India,Rural,CPI (General),,,,,,104.19,,
2024,Current,2025,December,All India,Urban,CPI (General),,,,,,103.98,,
2024,Current,2025,December,All India,Combined,CPI (General),,,,,,104.10,,
2024,Current,2025,December,All India,Rural,Food and beverages,,,,,01,103.88,,
2024,Current,2025,December,All India,Urban,Food and beverages,,,,,01,104.40,,
2024,Current,2025,December,All India,Combined,Food and beverages,,,,,01,104.07,,
2024,Current,2025,December,All India,Rural,"Paan, tobacco and intoxicants",,,,,02,104.20,,
2024,Current,2025,December,All India,Urban,"Paan, tobacco and intoxicants",,,,,02,103.91,,
2024,Current,2025,December,All India,Combined,"Paan, tobacco and intoxicants",,,,,02,104.11,,
2024,Current,2025,December,All India,Rural,Clothing and footwear,,,,,03,106.42,,
2024,Current,2026,June,All India,Rural,CPI (General),,,,,,107.24,4.74,
2024,Current,2026,June,All India,Urban,CPI (General),,,,,,106.69,3.92,
2024,Current,2026,June,All India,Combined,CPI (General),,,,,,107.00,4.38,
2024,Current,2026,June,All India,Rural,Food and beverages,,,,,01,106.70,5.21,
2024,Current,2026,June,All India,Urban,Food and beverages,,,,,01,107.46,4.79,
2024,Current,2026,June,All India,Combined,Food and beverages,,,,,01,106.98,5.05,
2024,Current,2026,June,All India,Rural,"Paan, tobacco and intoxicants",,,,,02,107.88,4.61,
2024,Current,2026,June,All India,Urban,"Paan, tobacco and intoxicants",,,,,02,108.10,5.31,
2024,Current,2026,June,All India,Combined,"Paan, tobacco and intoxicants",,,,,02,107.94,4.83,
2024,Current,2026,June,All India,Rural,Clothing and footwear,,,,,03,108.93,3.78,
