indicator,year,month,foreign_exchange_reserve_type,foreign_exchange_reserve_currency,value,unit
 Foreign Exchange Reserve Monthly,2001,August,Total,US $ Millions,45358.00,
 Foreign Exchange Reserve Monthly,2001,July,Total,US $ Millions,43730.00,
 Foreign Exchange Reserve Monthly,2001,June,Total,US $ Millions,43454.00,
 Foreign Exchange Reserve Monthly,2001,May,Total,US $ Millions,42991.00,
 Foreign Exchange Reserve Monthly,2001,October,Total,US $ Millions,45256.00,
 Foreign Exchange Reserve Monthly,2001,September,Total,US $ Millions,44877.00,
 Foreign Exchange Reserve Monthly,2001,December,Total,US $ Millions,48112.00,
 Foreign Exchange Reserve Monthly,2001,November,Total,US $ Millions,46891.00,
 Foreign Exchange Reserve Monthly,2001,April,Total,US $ Millions,42526.00,
 Foreign Exchange Reserve Monthly,2001,March,Total,US $ Millions,42281.00,
 Foreign Exchange Reserve Monthly,2002,November,Total,US $ Millions,67578.00,
 Foreign Exchange Reserve Monthly,2002,December,Total,US $ Millions,71110.00,
 Foreign Exchange Reserve Monthly,2002,October,Total,US $ Millions,65159.00,
 Foreign Exchange Reserve Monthly,2002,September,Total,US $ Millions,63620.00,
 Foreign Exchange Reserve Monthly,2002,August,Total,US $ Millions,62140.00,
 Foreign Exchange Reserve Monthly,2002,July,Total,US $ Millions,60607.00,
 Foreign Exchange Reserve Monthly,2002,June,Total,US $ Millions,58693.00,
 Foreign Exchange Reserve Monthly,2002,May,Total,US $ Millions,56779.00,
 Foreign Exchange Reserve Monthly,2002,April,Total,US $ Millions,55870.00,
 Foreign Exchange Reserve Monthly,2002,March,Total,US $ Millions,54106.00,
 Foreign Exchange Reserve Monthly,2003,December,Total,US $ Millions,103151.00,
 Foreign Exchange Reserve Monthly,2003,November,Total,US $ Millions,97400.00,
 Foreign Exchange Reserve Monthly,2003,October,Total,US $ Millions,93803.00,
 Foreign Exchange Reserve Monthly,2003,September,Total,US $ Millions,92339.00,
 Foreign Exchange Reserve Monthly,2003,August,Total,US $ Millions,87306.00,
 Foreign Exchange Reserve Monthly,2003,July,Total,US $ Millions,85551.00,
 Foreign Exchange Reserve Monthly,2003,June,Total,US $ Millions,83221.00,
 Foreign Exchange Reserve Monthly,2003,May,Total,US $ Millions,82308.00,
 Foreign Exchange Reserve Monthly,2003,April,Total,US $ Millions,78325.00,
 Foreign Exchange Reserve Monthly,2003,March,Total,US $ Millions,76100.00,
 Foreign Exchange Reserve Monthly,2004,December,Total,US $ Millions,131178.00,
 Foreign Exchange Reserve Monthly,2004,November,Total,US $ Millions,128226.00,
