year_type,year,frequency,indicator,state,gender,sector,AgeGroup,weekly_status,religion,socialGroup,General_Education,quarter,month,employee_contract,value,unit
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,8.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,6.0,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,1.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,2.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,5.5,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,5.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,10.3,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,19.8,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,17.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,14.6,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,11.4,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,4.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,6.2,%
